rank,full_name,team,injury_status,position,age,points,avg_adp,trend,KeepTradeCut,90D Peak
648,Michael Pratt,TB,,QB,23,0,0,0,0,
649,Mo Alie-Cox,IND,,TE,31,26.7,0,0,0,
650,Nyheim Hines,CLE,,RB,28,0,0,0,0,
651,Parris Campbell,PHI,,WR,27,12,0,0,0,
652,Quez Watkins,ARI,,WR,26,0,0,0,0,
653,Robert Woods,HOU,,WR,32,28.3,122,0,0,
654,Scotty Miller,,,WR,27,9.4,0,0,0,
655,Skylar Thompson,PIT,,QB,27,7.88,0,0,0,
656,Tanner Hudson,CIN,,TE,30,29,0,0,0,
657,Zach Evans,NYJ,,RB,23,0,0,0,0,
658,Zach Pascal,ARI,,WR,30,0,0,0,0,
659,Velus Jones,CAR,,WR,27,0.4,0,0,0,
662,Trent Sherfield,MIN,,WR,28,18.3,154,0,0,
663,Trenton Irwin,CAR,,WR,29,3,0,0,0,
664,DeWayne McBride,,,RB,23,0,0,0,0,
665,Tony Jones,,,RB,27,11.5,0,0,0,
666,Teagan Quitoriano,HOU,IR,TE,24,0,0,0,0,
668,Samori Toure,CHI,,WR,26,0,0,0,0,
669,Sam Ehlinger,IND,,QB,26,0,0,0,0,
670,Salvon Ahmed,IND,,RB,25,0,0,0,0,
672,Russell Gage,SF,,WR,28,0,0,0,0,
674,Nick Mullens,MIN,,QB,29,1.32,0,0,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data Exported from dynasty-daddy.com.,,,,,,,,,,
